"name","word","count"
"exercicio","exercicio",230
"productores","productores",66
"exercer","exercer",36
"consultiva","consultiva",50
"procede","procede",42
"afán","afán",37
"dereito","dereito",626
"figura","figura",174
"europeas","europeas",62
"frecuencia","frecuencia",43
"teléfono","teléfono",32
"engadir","engadir",62
"nunca","nunca",462
"deberán","deberán",46
"cándo","cándo",47
"diga","diga",346
"saia","saia",40
"xustificación","xustificación",66
"refírese","refírese",71
"coñecida","coñecida",48
"realizado","realizado",49
"terían","terían",86
"entender","entender",269
"porto","porto",67
"espírito","espírito",91
"dedica","dedica",49
"producto","producto",94
"doutro","doutro",150
"emisións","emisións",39
"defendendo","defendendo",65
